run,strategy,product,trade_count,volume,buy_volume,sell_volume,outside_volume,outside_trade_count,taker_like_volume,avg_fill_mid_edge,avg_outside_distance,markout_1,adverse_rate_1,markout_2,adverse_rate_2,markout_5,adverse_rate_5,markout_10,adverse_rate_10,markout_50,adverse_rate_50,markout_100,adverse_rate_100
14,iv_momentum_conservative,VEV_5400,9,80,0,80,0,0,80,-0.6875,,-0.625,0.875,-0.59375,0.6875,-0.5875,0.6625,-0.65,0.7875,-1.16875,0.9125,-1.41875,0.7875
15,iv_momentum_aggro,VELVETFRUIT_EXTRACT,252,1227,522,705,0,0,1060,-1.9380603096984514,,-1.7365415986949428,0.831973898858075,-1.78734693877551,0.8,-1.7680032733224222,0.7512274959083469,-2.451320132013201,0.7656765676567657,-3.1994122586062135,0.743073047858942,1.223122866894198,0.42918088737201365
15,iv_momentum_aggro,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
15,iv_momentum_aggro,VEV_4500,13,45,45,0,0,0,37,-1.9333333333333333,,1.3888888888888888,0.28888888888888886,1.5888888888888888,0.26666666666666666,2.011111111111111,0.15555555555555556,1.7333333333333334,0.4888888888888889,4.288888888888889,0.26666666666666666,1.6666666666666667,0.3333333333333333
15,iv_momentum_aggro,VEV_5000,61,610,255,355,0,0,604,-3.0385245901639344,,-3.273770491803279,0.9901639344262295,-3.3344262295081966,0.9540983606557377,-3.3459016393442624,0.8590163934426229,-3.5245901639344264,0.8098360655737705,-4.6,0.7868852459016393,-2.6065573770491803,0.5721311475409836
15,iv_momentum_aggro,VEV_5100,68,616,258,358,0,0,608,-2.1704545454545454,,-2.4099025974025974,0.9626623376623377,-2.476461038961039,0.9691558441558441,-2.5771103896103895,0.7808441558441559,-2.9910714285714284,0.7564935064935064,-3.7467532467532467,0.7857142857142857,-2.0990259740259742,0.5551948051948052
15,iv_momentum_aggro,VEV_5200,59,604,252,352,0,0,601,-1.468543046357616,,-1.6175496688741722,0.9602649006622517,-1.6862582781456954,0.9139072847682119,-1.744205298013245,0.847682119205298,-2.193708609271523,0.8360927152317881,-2.5745033112582782,0.7764900662251656,-1.3766556291390728,0.5562913907284768
15,iv_momentum_aggro,VEV_5400,11,100,0,100,0,0,100,-0.725,,-0.725,0.85,-0.86,0.82,-0.85,0.75,-0.835,0.9,-0.915,0.78,-1.035,0.63
16,vol_harvest_unhedged,VELVETFRUIT_EXTRACT,47,273,135,138,0,0,0,1.543956043956044,,1.379120879120879,0.07692307692307693,1.1483516483516483,0.1575091575091575,1.2454212454212454,0.1978021978021978,1.119047619047619,0.3516483516483517,1.401185770750988,0.3952569169960474,3.508298755186722,0.34024896265560167
16,vol_harvest_unhedged,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
16,vol_harvest_unhedged,VEV_5000,7,50,50,0,0,0,50,-2.96,,-3.58,1.0,-4.01,1.0,-5.16,1.0,-4.72,0.92,5.0,0.0,-6.25,1.0
16,vol_harvest_unhedged,VEV_5100,7,50,50,0,0,0,50,-2.21,,-2.77,1.0,-3.17,1.0,-4.27,1.0,-3.99,1.0,5.15,0.0,-5.05,1.0
16,vol_harvest_unhedged,VEV_5200,7,50,50,0,0,0,50,-1.64,,-2.14,1.0,-2.5,1.0,-3.3,1.0,-3.18,0.96,4.34,0.0,-3.74,1.0
16,vol_harvest_unhedged,VEV_5300,8,50,50,0,0,0,50,-1.08,,-1.42,1.0,-1.58,1.0,-1.96,1.0,-1.61,0.72,2.83,0.0,-2.46,1.0
16,vol_harvest_unhedged,VEV_5400,7,50,50,0,0,0,50,-0.82,,-0.9,1.0,-0.98,1.0,-1.14,1.0,-1.14,1.0,0.96,0.0,-1.48,1.0
